,comments,preprocessed comments,sentiment
894,again nothing new,nothing new,positive
895,where is isaac clarke when you need him,isaac clarke need,neutral
896,meh,meh,neutral
897,but did the entire cast need to look like were about to start their senior year of high school in two years,entire cast need look like start senior year high school two years,positive
898,theres something in the whoaha,theres something whoaha,neutral
899,its a shame sigourney weaver is not returning,shame sigourney weaver returning,neutral
900,ending one survivor landing on earth and the alien is in side her pt the take over of earth,ending one survivor landing earth alien side pt take earth,negative
901,ive been watching alien sense i was and i fell in love with iti hope this wont be like covenant,ive watching alien sense fell love iti hope wont like covenant,positive
902,is this the rated g version of alien,rated g version alien,negative
903,pass,pass,neutral
904,anxious,anxious,negative
905,it looks alright but the cast looks like they are from british channel tv show,looks alright cast looks like british channel tv show,neutral
906,there is something in the wataahh face with tears of joy,something wataahh face tears joy,positive
907,where the dam engineers at bruh,dam engineers bruh,neutral
908,party popper party popper party popper party popper call me hand call me hand call me hand red heart,party popper party popper party popper party popper call hand call hand call hand red heart,neutral
909,comments section summary meh another young people break into a place and end up victims movie theres sumfin in the woah,comments section summary meh another young people break place end victims movie theres sumfin woah,positive
910,that lady in aliens that said quotkill mequot this is her origin making a move on awtx was great thanks for the headsup,lady aliens said quotkill mequot origin making move awtx great thanks headsup,positive
911,its so over if this is dogshit,dogshit,neutral
912,fede alvarez really likes his young people break into a place and end up victims plotlines,fede alvarez really likes young people break place end victims plotlines,positive
913,why do these movies always have massive ships with a manwomen crew almost to span the movie out with all the alien hiding spots face with tears of joy,movies always massive ships manwomen crew almost span movie alien hiding spots face tears joy,positive
914,thank god they brought back the practical effects,thank god brought back practical effects,neutral
915,wow really doing something new with this one eh,wow really something new one eh,positive
916,in space no one can hear you over the deafening jumpscares,space one hear deafening jumpscares,neutral
917,in space nobody is over the age of,space nobody age,neutral
918,yeeeeeesssss,yeeeeeesssss,neutral
919,summin in uh woah what do you mean,summin uh woah mean,negative
920,a must watch for me,must watch,neutral
921,yet another movie featuring puppets that bite scary,yet another movie featuring puppets bite scary,negative
922,we have alien at home,alien home,negative
923,i dont get how everyones always so clean shaven even in space,dont get everyones always clean shaven even space,positive
924,i know its a movie and all but i cant wrap my head around the fact that every character so far is around and younger it really doesnt do justice to the original alien which had a fantastic cast of grizzled workers trying to figure out a horrific situation the younger cast just doesnt do it for me face with diagonal mouth,know movie cant wrap head around fact every character far around younger really doesnt justice original alien fantastic cast grizzled workers trying figure horrific situation younger cast doesnt face diagonal mouth,negative
925,fearfulface face screaming in fear,fearfulface face screaming fear,neutral
926,how is this different from the first movie i see more action more alien details but same story,different first movie see action alien details story,positive
927,remakes and redos from hollywood sad sad sad the writersproducers have no more creativity or originality left,remakes redos hollywood sad sad sad writersproducers creativity originality left,negative
928,take the original alien make is super diverse lather rinse repeat yawn hard pass,take original alien make super diverse lather rinse repeat yawn hard pass,positive
929,in theaters no one can hear you scream,theaters one hear scream,neutral
930,for a moment i thought they united the blade runner and alien universes,moment thought united blade runner alien universes,negative
931,okay thats pretty terrifying seeing the alien break out of the chest is already a haunting image but seeing it in action is both disgusting and horrifying,okay thats pretty terrifying seeing alien break chest already haunting image seeing action disgusting horrifying,negative
932,whew the cast is something alright,whew cast something alright,neutral
933,as long as has face egg layers im good with it,long face egg layers im good,positive
934,remember those things we did in the other alien movies make sure we do that again so everyone knows its an alien movie,remember things alien movies make sure everyone knows alien movie,negative
935,where is walter the ai though,walter ai though,neutral
936,just like the s alien alien alien monster no one can hear hear no evil monkey u in space milky way rocket,like alien alien alien monster one hear hear evil monkey u space milky way rocket,negative
937,how much longer are they going to milking the franchise,much longer going milking franchise,positive
938,how does this movie fit into the alien saga,movie fit alien saga,positive
939,the visuals set design and atmosphere are all on point im looking forward to this,visuals set design atmosphere point im looking forward,neutral
940,why are all these characters kids its a kind of school colony or something whats the story,characters kids kind school colony something whats story,positive
941,if the trailer didnt make it seem like this movie will be another unoriginal clich alien the in space no one can hear you scream line should really drive home the point,trailer didnt make seem like movie another unoriginal clich alien space one hear scream line really drive home point,negative
942,looks like fan made trash,looks like fan made trash,neutral
943,how many squishy goo sounds do you want in the trailer yes,many squishy goo sounds want trailer yes,positive
944,why does this trailer look fan made,trailer look fan made,neutral
945,that shot with his mouth open really sell the new xenomorph design better than the closed mouth posters,shot mouth open really sell new xenomorph design better closed mouth posters,positive
946,this looks bad the aliens could fight and terrify harden marines and professionals these actors look and seem like a bunch of undergrads of course there all going to get slaughtered by the aliens feels like the director wanted to make halloween film instead of an alien film,looks bad aliens could fight terrify harden marines professionals actors look seem like bunch undergrads course going get slaughtered aliens feels like director wanted make halloween film instead alien film,negative
947,love it fire,love fire,positive
948,multiple xenomorphs or just one,multiple xenomorphs one,neutral
949,flexed biceps medium skin tone united states,flexed biceps medium skin tone united states,neutral
950,i wanted the sequel to prometheus and covenant,wanted sequel prometheus covenant,neutral
951,there ya go thats the whole movie right there basically alien but in,ya go thats whole movie right basically alien,positive
952,the fact that theyre selling this film just as an alien soft remake might mean that the film will be big in terms of plot soooo loking forward to it,fact theyre selling film alien soft remake might mean film big terms plot soooo loking forward,negative
953,looks terrible very clich and completely predictable bad acting with boring characters another franchise going to hell just like terminator,looks terrible clich completely predictable bad acting boring characters another franchise going hell like terminator,negative
954,this movie is missing a cat bro awtx is the best thing you said well done,movie missing cat bro awtx best thing said well done,positive
955,i am very happy because i have come to understand english films without subtitlesa wonderful language but that was after a lot of effort,happy come understand english films without subtitlesa wonderful language lot effort,positive
956,virtually guaranteed its crap,virtually guaranteed crap,negative
957,face hugger didnt even buy him a drink,face hugger didnt even buy drink,neutral
958,alien isolation is official,alien isolation official,negative
959,in space no one can hear you screamridley scott alien,space one hear screamridley scott alien,negative
960,everyone crying for help aliens sound doesnt travel in vacuum kiss me and transcend beyond your worries,everyone crying help aliens sound doesnt travel vacuum kiss transcend beyond worries,positive
961,we had aliens vs marinespirates scientists couples now we have aliens vs kids cant wait face with tears of joy,aliens vs marinespirates scientists couples aliens vs kids cant wait face tears joy,positive
962,im sure that the age of the group thats in the station will be explained perhaps the more senior staff had left the station for whatever reason or perhaps they left to watch how the alien operates and how the crew works to survive and the rest of staff want to see what the guys left behind attempt to do and how the alien overcomes it basically a science experiment who knows but im fairly certain that there is a reason why the people we see are young and it will be explained,im sure age group thats station explained perhaps senior staff left station whatever reason perhaps left watch alien operates crew works survive rest staff want see guys left behind attempt alien overcomes basically science experiment knows im fairly certain reason people see young explained,positive
963,this movie actually has a chance now that ridley finally stopped directing the sequels,movie actually chance ridley finally stopped directing sequels,neutral
964,and very dark the movie,dark movie,negative
965,i really really wanna be optimistic but i saw prometheus half of covenant ill watch it on a streaming service buy a copy if its good please make me want to buy it,really really wan na optimistic saw prometheus half covenant ill watch streaming service buy copy good please make want buy,positive
966,why does this just look like a remake of the first alien film or have they just hidden the plot well within the trailer,look like remake first alien film hidden plot well within trailer,negative
967,looks exactly like the same movie but with worse actors face with tears of joy pass,looks exactly like movie worse actors face tears joy pass,positive
968,i had zero idea expectations for this after the last few atrocities in the alien franchise have to say though this looks pretty damned good and im really looking forward to seeing it now very dark atmospheric and slick cant wait ps glad to see there are no engineers to be seen that subplot was just awful oh and please god dont ever let guy pearce get involved again his megawrinkly weyland was a disgrace to acting,zero idea expectations last atrocities alien franchise say though looks pretty damned good im really looking forward seeing dark atmospheric slick cant wait ps glad see engineers seen subplot awful oh please god dont ever let guy pearce get involved megawrinkly weyland disgrace acting,negative
969,this trailer already showed us two people that are dying and the main character who obviously wont man facepalming,trailer already showed us two people dying main character obviously wont man facepalming,positive
970,this looks terrible im really disappointed,looks terrible im really disappointed,negative
971,the goonies x aliens pile of poo skull,goonies x aliens pile poo skull,neutral
972,skull skull ok hand,skull skull ok hand,positive
973,ridley do we really need face hugger assault scenes is that too few we should add more,ridley really need face hugger assault scenes add,positive
974,good director so im excited,good director im excited,positive
975,you know youre old when you see the casts are looking like stranger things grinning face with sweat,know youre old see casts looking like stranger things grinning face sweat,positive
976,next up things you missed in alien trailer xdd,next things missed alien trailer xdd,negative
977,glad we can all watch this together as we mourn what star wars has become,glad watch together mourn star wars become,positive
978,theres something in the water what do you mean there is something in the water im affraid xenomorph is the only intelligent life form on this ship,theres something water mean something water im affraid xenomorph intelligent life form ship,positive
979,who knew the average age of the crew for a trillion dollar space vessel would be lol,knew average age crew trillion dollar space vessel would lol,positive
980,aaaaaa,aaaaaa,neutral
981,nah not feeling the vibe tbh,nah feeling vibe tbh,neutral
982,my mommy always said there were no monsters no real ones but there are,mommy always said monsters real ones,negative
983,these characters make it feel like some summer camp slasher movie,characters make feel like summer camp slasher movie,neutral
984,looks like the dropped the cgi for the better,looks like dropped cgi better,positive
985,booorriiiiingggggggggg yawning face,booorriiiiingggggggggg yawning face,neutral
986,this looks shitty tbh,looks shitty tbh,neutral
987,love what they did with the in space no one can hear you scream,love space one hear scream,positive
988,i love event horizon,love event horizon,positive
989,looks terrible,looks terrible,negative
990,looks like they checked all the boxes,looks like checked boxes,neutral
991,that face hugger was not even gonna give that poor fella a chance at a first date loudly crying face,face hugger even gon na give poor fella chance first date loudly crying face,negative
992,just from the trailer i can already say this will be crap,trailer already say crap,negative
993,sumfin in tha whouh innit,sumfin tha whouh innit,neutral
994,suprised to see they didnt put a transgender innit yet,suprised see didnt put transgender innit yet,neutral
995,looks crappy,looks crappy,neutral
996,just looks like quiet moments followed by jump scares barely any story and just a rehash damnit,looks like quiet moments followed jump scares barely story rehash damnit,neutral
997,if ridley scott is involved on this i can trust a bit theres something decent on this film,ridley scott involved trust bit theres something decent film,positive
998,two strikes against this rehash of alien right off the bat sigourney weaver s ellen ripley ain t in it disney s producing it number was enough for me to ignore it but then i saw the trailer when a trailer doesn t hold your interest it s best to keep your card in your wallet that they couldn t figure out how to put sigourney weaver in the cast shows poor planning and even poorer judgment i guess they figure youngsters won t be familiar with the previous alien movies but what the hey disney s done such a bang up job with star wars maybe they ve applied the same magic formula to alien remus,two strikes rehash alien right bat sigourney weaver ellen ripley disney producing number enough ignore saw trailer trailer hold interest best keep card wallet figure put sigourney weaver cast shows poor planning even poorer judgment guess figure youngsters familiar previous alien movies hey disney done bang job star wars maybe applied magic formula alien remus,positive
999,cinemaaaaaaaaaaaaaaaaaaaaaaaa,cinemaaaaaaaaaaaaaaaaaaaaaaaa,neutral
1000,british guy sounds worse than any cw actor,british guy sounds worse cw actor,negative
1001,it looks like an amalgamation of everything weve already seen before it even features that same iconic shot of the xenomorph face to face with ripley,looks like amalgamation everything weve already seen even features iconic shot xenomorph face face ripley,positive
1002,you know a monsterhorror series has gone on for too long when you feel like youre starting to root for the monster,know monsterhorror series gone long feel like youre starting root monster,negative
1003,if the british dude had his knife he wouldnt won that fight in the wooor,british dude knife wouldnt fight wooor,neutral
1004,i really hope this will be good i have high hopes with fede alvarez directing and ridley scott producing i hope it can return to the original formula which made the original so awesome,really hope good high hopes fede alvarez directing ridley scott producing hope return original formula made original awesome,positive
1005,rated r,rated r,neutral
1006,i hope this is good the older i get i become a cynic to me this looks like a remake of alien ridleys original the suspense thriller this trailer does nothing for me,hope good older get become cynic looks like remake alien ridleys original suspense thriller trailer nothing,positive
1007,so its basically a remake of the first alien who asked for this also nice line read at this is army ticket out of here you really couldnt be bothered to redo that one this dudes accent is hilariously thick and completely the wrong tone for the movie he sounds like a chav trying to bum a cigarette from you,basically remake first alien asked also nice line read army ticket really couldnt bothered redo one dudes accent hilariously thick completely wrong tone movie sounds like chav trying bum cigarette,positive
1008,who thought that high pitch for so many seconds was a good idea,thought high pitch many seconds good idea,positive
1009,curious seems most commenters are interested in the gentlemens speaking voice more so than the film and how it might fair or quite possibly if it seems interesting,curious seems commenters interested gentlemens speaking voice film might fair quite possibly seems interesting,positive
1010,this actually looks a lot like alien isolation,actually looks lot like alien isolation,negative
1011,face hugger really did man dirty lol,face hugger really man dirty lol,positive
1012,so star trek x alien,star trek x alien,negative
1013,prometheus cool engineers intrigue me this will progress the storyline covenant didnt really have engineers in it but i liked it may open the door for more plot stuff romulus carbon copy of every single aliens movie just a different setting,prometheus cool engineers intrigue progress storyline covenant didnt really engineers liked may open door plot stuff romulus carbon copy every single aliens movie different setting,positive
1014,looks like ill be rooting for the aliens now,looks like ill rooting aliens,negative
1015,finally we are going to see a movie with the horrific atmosphere of the original space balls,finally going see movie horrific atmosphere original space balls,negative
1016,i hope you notice this comment please continue the percy jackson movies and miss peregrines home for peculiar children philippines love to watch fiction fantasy and magical like these,hope notice comment please continue percy jackson movies miss peregrines home peculiar children philippines love watch fiction fantasy magical like,positive
1017,if the trailer feels like a checklist imagine how the movie feels,trailer feels like checklist imagine movie feels,neutral
1018,so they making a spin off remake of the same movies years ago for the newbies copy paste they know cant beat the originals but noobs havent saw it and maybe never will so it will work face with tears of joy they never know are seeing a bad copy,making spin remake movies years ago newbies copy paste know cant beat originals noobs havent saw maybe never work face tears joy never know seeing bad copy,positive
1019,no weaver no alien,weaver alien,positive
1020,woke dei cast,woke dei cast,neutral
1021,they need to leave the franchise alone the trailer clearly shows its going to stink plus disney is behind this you can tell by the checklist cast members also its not an alien film without weaver,need leave franchise alone trailer clearly shows going stink plus disney behind tell checklist cast members also alien film without weaver,negative
1022,looks like a fan fic to memight be ok for a tv movie,looks like fan fic memight ok tv movie,positive
1023,ridley scott makes the same movie again,ridley scott makes movie,neutral
1024,why did they choose a little girl for the main role,choose little girl main role,negative
1025,hopefully this movie uses the original alien horror formula and doesnt do more confusing origin stories that dont really give any real answers,hopefully movie uses original alien horror formula doesnt confusing origin stories dont really give real answers,positive
1026,from the trailer it looks like a disappointment haha there is sumfin in the fookin wota thats so cringy and chavy i think they missed out on the story of the engineers covered in prometheus which a lot of people was hoping to be included this might be another flop like recent jeepers creepers they need to chill with their woke hype i think ill pass on this,trailer looks like disappointment haha sumfin fookin wota thats cringy chavy think missed story engineers covered prometheus lot people hoping included might another flop like recent jeepers creepers need chill woke hype think ill pass,negative
1027,at this point the xenomorphs might be the good guys,point xenomorphs might good guys,positive
1028,what is this alien grange hill edition who threw the sausage,alien grange hill edition threw sausage,negative
1029,i cant believe they really made an english man say water in a tense scene,cant believe really made english man say water tense scene,negative
1030,boycotting all new alien movies enough is enough,boycotting new alien movies enough enough,negative
1031,more of the same,,positive
1032,more woke shite,woke shite,positive
1033,nothing fresh or creative about it,nothing fresh creative,positive
1034,i wanna hearjust one last time in my life vasquez scream lets rock,wan na hearjust one last time life vasquez scream lets rock,neutral
1035,wish they would have just made a sequel to prometheus,wish would made sequel prometheus,neutral
1036,kids eh in the original alien the crew looked like space truckers these lot look like they just finished school,kids eh original alien crew looked like space truckers lot look like finished school,positive
1037,over fcking years why is there nothing new,fcking years nothing new,positive
1038,idk why i thought that was jlaw,idk thought jlaw,neutral
1039,are you trying to say water sweat droplets united kingdom face with tears of joy face with tears of joy face with tears of joy rolling on the floor laughing,trying say water sweat droplets united kingdom face tears joy face tears joy face tears joy rolling floor laughing,positive
1040,lighting looks awful,lighting looks awful,negative
1041,bro got violated skull,bro got violated skull,neutral
1042,fede alvarez has got some of that horror pedigree,fede alvarez got horror pedigree,neutral
1043,prometheus most stupid crew in the history of stupidity covenant crew hold our beers romulus crew wait and see,prometheus stupid crew history stupidity covenant crew hold beers romulus crew wait see,negative
1044,isnt this just the first movie all over again,isnt first movie,positive
1045,this channel is very boom star struck,channel boom star struck,positive
1046,ummmmmm why is everyone like years old,ummmmmm everyone like years old,positive
1047,few seconds of seeing these characters and you just want the alien to kill all of them,seconds seeing characters want alien kill,negative
1048,its not looking good there already look like they hired one person from each country that already tells me its politically correct knowing that expect bad actors hired for race instead of skills bad writers who wrote horrible dialogue a goofy story with plot holes galore and bad cgi dei does it again made for modern audiences,looking good already look like hired one person country already tells politically correct knowing expect bad actors hired race instead skills bad writers wrote horrible dialogue goofy story plot holes galore bad cgi dei made modern audiences,negative
1049,not diverse enough,diverse enough,neutral
1050,in space there is sumfin inna woah,space sumfin inna woah,neutral
1051,considering that for more than years nothing good has been removed in this franchise whether it was worth waiting for something good,considering years nothing good removed franchise whether worth waiting something good,positive
1052,this looks awesome eyes tho am i the only one who heard mechagodzilla at,looks awesome eyes tho one heard mechagodzilla,positive
1053,did they give the aliens have pronouns,give aliens pronouns,neutral
1054,every alien movie ever person i don t think we should go into insert creepy location here person will be fine face hugger hello,every alien movie ever person think go insert creepy location person fine face hugger hello,negative
1055,i always hated those franking face huggers,always hated franking face huggers,negative
1056,alien aliens and prometheus are the only movies that needed to exist in this franchise,alien aliens prometheus movies needed exist franchise,negative
1057,the story blooms and smells,story blooms smells,neutral
1058,why is every single character under years old,every single character years old,positive
1059,in space nobody can hear you say thers just something in da fookin woah,space nobody hear say thers something da fookin woah,neutral
1060,looks horrible,looks horrible,negative
1061,reading the comments i can say the worst of alien movies are their fans,reading comments say worst alien movies fans,negative
1062,oh boy same old same old,oh boy old old,positive
1063,lets try our best to be content fortunately the classic milestone will always be there lets take a breath,lets try best content fortunately classic milestone always lets take breath,positive
1064,trash,trash,neutral
1065,this is a really crunchy spaceship,really crunchy spaceship,positive
1066,even the alien knows you dont say woh ahh gets attacked instantly face with tears of joy,even alien knows dont say woh ahh gets attacked instantly face tears joy,positive
1067,the black guy who says run is definitely the android in this,black guy says run definitely android,negative
1068,face with open mouth face with open mouth face with open mouth face with open mouth,face open mouth face open mouth face open mouth face open mouth,neutral
1069,doesnt anyone know if this is a continuation of the prometheuscovenant timeline,doesnt anyone know continuation prometheuscovenant timeline,neutral
1070,yuck in the s yuck now cant wait,yuck yuck cant wait,neutral
1071,looks like another box ticking exercise think i will give it a miss,looks like another box ticking exercise think give miss,neutral
1072,im currently playing aliens dark descent and got so in the mood for a new alien movie,im currently playing aliens dark descent got mood new alien movie,negative
1073,the practical xenomorph looks way scarier than anything cgi can conjure up,practical xenomorph looks way scarier anything cgi conjure,neutral
1074,i saw this ima youtube add,saw ima youtube add,neutral
1075,theres something in the woah grinning face with sweat,theres something woah grinning face sweat,neutral
1076,what now teenyboppers starring,teenyboppers starring,neutral
1077,anyone who sees my comment will be successful and healthiermay god bless you abundantly folded hands,anyone sees comment successful healthiermay god bless abundantly folded hands,positive
1078,hmmmwelldont knowmaybewaiting for watching,hmmmwelldont knowmaybewaiting watching,neutral
1079,facehugger trying to put its thingy in guys mouth without his consent lgbtq plus people are going to love this movie,facehugger trying put thingy guys mouth without consent lgbtq plus people going love movie,positive
1080,cor blimey guvnar can i ave sum ore,cor blimey guvnar ave sum ore,neutral
1081,lot of dei boxes checked in that trailer,lot dei boxes checked trailer,neutral
1082,same scenes they film same scenes everytime those acid holes through decks nothing new just abuse of same ideas every other movie,scenes film scenes everytime acid holes decks nothing new abuse ideas every movie,positive
1083,th century studios your tinnitus is not trailerrelated,th century studios tinnitus trailerrelated,neutral
1084,scream do the full line crying face,scream full line crying face,positive
1085,where is this franchise going,franchise going,neutral
1086,this looks so pathetic honestly going to be a massive flop,looks pathetic honestly going massive flop,negative
1087,so they did a remake,remake,neutral
1088,the actors look so lame and forgetable,actors look lame forgetable,negative
1089,alienaliensprometheus were the only moves worth a crap this one wont be good either most likely,alienaliensprometheus moves worth crap one wont good either likely,positive
1090,while im expecting woke casting and a lame cash in of a flick i hope i am wrong,im expecting woke casting lame cash flick hope wrong,negative
1091,feels like ive seen this before ill hold judgement for the audience reviews,feels like ive seen ill hold judgement audience reviews,negative
1092,do movie producers must put black actors in movies,movie producers must put black actors movies,negative
1093,in space no one can hear you scream but apparently everything else is loud af,space one hear scream apparently everything else loud af,positive
1094,they just make the same movie over and over again,make movie,neutral
1095,this looks so average,looks average,negative
1096,sure you wanna do this oh yea lets fight aliens one more time,sure wan na oh yea lets fight aliens one time,positive
1097,i cant wait for prometheus remus,cant wait prometheus remus,neutral
1098,woah you doin in the fookin woah,woah doin fookin woah,neutral
1099,whats woaa,whats woaa,neutral
1100,cant wait red heart,cant wait red heart,neutral
1101,welp since disney owns th century fox i will reserve judgement till i see it for myself but i dont have hope,welp since disney owns th century fox reserve judgement till see dont hope,neutral
1102,where does this fall within the storyline,fall within storyline,neutral
1103,the silent scream part was awesome,silent scream part awesome,positive
1104,more of the sameit could be a sequence of alien covenant but naaaoo they invent another generic movie of alienbick in the cinema that i dont see that,sameit could sequence alien covenant naaaoo invent another generic movie alienbick cinema dont see,positive
1105,looks awful,looks awful,negative
1106,i feel like ive seen this movie a hundred times already,feel like ive seen movie hundred times already,neutral
1107,why are they all like lol,like lol,positive
1108,looks meh,looks meh,neutral
1109,ens sequence had my tennitius buggin xd,ens sequence tennitius buggin xd,neutral
1110,i am so glad i was young at a time when most of the original movies were made,glad young time original movies made,positive
1111,alien isolation anybody game over man game over,alien isolation anybody game man game,negative
1112,british dude something in da wo ah facehugger dont you mean a boah o woah,british dude something da wo ah facehugger dont mean boah woah,negative
1113,game over man game over rip bill paxton hudson from aliens,game man game rip bill paxton hudson aliens,negative
1114,this is gonna be the worst star trek movie ever the romulans didnt even look like romulans im skipping this one just like jj abrams trilogy,gon na worst star trek movie ever romulans didnt even look like romulans im skipping one like jj abrams trilogy,negative
1115,i enjoyed the trailer more than every alien movie since and including alien this looks like a return to the roots or the first movies,enjoyed trailer every alien movie since including alien looks like return roots first movies,positive
1116,i remember when this happened,remember happened,neutral
1117,an alien movie is only as good as its human characters,alien movie good human characters,positive
1118,it looks like it wants to be event horizon but with aliens and i dont think its going to succeed at either,looks like wants event horizon aliens dont think going succeed either,positive
1119,could have gone without the ringing at the end,could gone without ringing end,neutral
1120,it has alien isolation vibes which is a good thing really,alien isolation vibes good thing really,positive
1121,i saw ailen when it first came out there were no previews or trailers only the quote about not hearing a scream in space id taken my girl out for supper then we smoked a joint before going into the theatre we felt great and were excited about the movie by the end of that movie i had a severe headache and an upset stomach freaking unforgetable,saw ailen first came previews trailers quote hearing scream space id taken girl supper smoked joint going theatre felt great excited movie end movie severe headache upset stomach freaking unforgetable,positive
1122,knowing ridleys obsession with evil androids there has to be at least one either a major character or even the aliens,knowing ridleys obsession evil androids least one either major character even aliens,negative
1123,this looks good thumbs up,looks good thumbs,positive
1124,head torches ffs,head torches ffs,neutral
1125,so prometheus meant nothing to you wanna know more about awtx too man,prometheus meant nothing wan na know awtx man,positive
1126,yeah they prolly ruined it,yeah prolly ruined,neutral
1127,i cant find any milk for my coffee said astronaut astronaut nobody can in space apply cream here,cant find milk coffee said astronaut astronaut nobody space apply cream,neutral
1128,you turned alien into a teen horror film with a sci fi backdrop congratulations man facepalming light skin tone,turned alien teen horror film sci fi backdrop congratulations man facepalming light skin tone,positive
1129,somthin in a woa,somthin woa,neutral
1130,theres somfin in the fohkin woah,theres somfin fohkin woah,neutral
1131,sure,sure,positive
1132,this is a remake of old one,remake old one,positive
1133,r classification,r classification,neutral
1134,theres just somethin in the f king wall wtf he cant even articulate water correctly,theres somethin f king wall wtf cant even articulate water correctly,negative
1135,in space the majority of people cant hear you scream,space majority people cant hear scream,neutral
1136,why was that facehugger so,facehugger,neutral
1137,again same spaceship small space aliens running wildzzzzzzzzzzzzzzzzz,spaceship small space aliens running wildzzzzzzzzzzzzzzzzz,negative
1138,same ol story,ol story,neutral
1139,dont forget theres something in the woha,dont forget theres something woha,neutral
1140,its amazing how many scenes and elements in the very first film are just simply recycled in the later films this looks to be no exception its like gee it worked so well in the first one lets just repackage it and throw it out there again so lazy,amazing many scenes elements first film simply recycled later films looks exception like gee worked well first one lets repackage throw lazy,positive
1141,we want engineers not this over done xenomorph crap again,want engineers done xenomorph crap,negative
1142,i lost it at woo ahh,lost woo ahh,neutral
1143,is this more dei woke crap or can i finally get excited about a movie again,dei woke crap finally get excited movie,positive
1144,let not your heart be troubled ye believe in god believe also in me in my father s house are many mansions if it were not so i would have told you i go to prepare a place for you and if i go and prepare a place for you i will come again and receive you unto myself that where i am there ye may be also and whither i go ye know and the way ye know john peace i leave with you my peace i give unto you not as the world giveth give i unto you let not your heart be troubled neither let it be afraid john,let heart troubled ye believe god believe also father house many mansions would told go prepare place go prepare place come receive unto ye may also whither go ye know way ye know john peace leave peace give unto world giveth give unto let heart troubled neither let afraid john,negative
1145,too much information,much information,positive
1146,so dumb,dumb,negative
1147,whats the bet they just took the story or the original aliens made it woke and bad and are calling it alien romulus i already recognize one of ripleys most famous scenes,whats bet took story original aliens made woke bad calling alien romulus already recognize one ripleys famous scenes,positive
1148,kidskidsjust kids face with raised eyebrow pensive face,kidskidsjust kids face raised eyebrow pensive face,neutral
1149,i guess dei is still a thing in the future,guess dei still thing future,neutral
1150,so it is first alien ripoff,first alien ripoff,neutral
1151,is it not a sequel to alien covenant i was really really expecting that i read in some interview that they will connect the missing dots of alien ship found on that lv something planet in part,sequel alien covenant really really expecting read interview connect missing dots alien ship found lv something planet part,negative
1152,thers suthin ine waer random british guy,thers suthin ine waer random british guy,negative
1153,in space nothing can trigger your gag reflex,space nothing trigger gag reflex,neutral
1154,see uin the cinemas,see uin cinemas,neutral
1155,next monthaaaaaaaaaaaaaaaaaaaaaa,next monthaaaaaaaaaaaaaaaaaaaaaa,neutral
1156,yes,yes,neutral
1157,cutting couponsagain,cutting couponsagain,negative
1158,looks promising,looks promising,positive
1159,just cant let it rest in peace can they,cant let rest peace,neutral
1160,annnd trailer giving away a major plot point,annnd trailer giving away major plot point,positive
1161,thers sumfinn in the foakn woahah its pronounced theres something in the fuckin water,thers sumfinn foakn woahah pronounced theres something fuckin water,neutral
1162,ill watch it but it just looks like isolation with some more characters lol,ill watch looks like isolation characters lol,positive
1163,the bastardization never ends,bastardization never ends,neutral
1164,floating in zero gravity towards acid blood fede got some great set pieces lined up,floating zero gravity towards acid blood fede got great set pieces lined,positive
1165,alien but this time against high school students,alien time high school students,negative
1166,youre telling me that guy with a such thick british accent doesnt carry a knife,youre telling guy thick british accent doesnt carry knife,negative
1167,alien romulus,alien romulus,negative
1168,baby alien hey dude u dont know how to spell water come here let me help you,baby alien hey dude u dont know spell water come let help,negative
1169,pbly need to change this narrative since were practically neighbors coexisting and stuff just sayin,pbly need change narrative since practically neighbors coexisting stuff sayin,neutral
1170,aliens cut through armed to the teeth space marines like a hot knife through butter but lets act like a group of high school kids is going to last longer than seconds okay face with rolling eyes,aliens cut armed teeth space marines like hot knife butter lets act like group high school kids going last longer seconds okay face rolling eyes,positive
1171,a sequel to alien that has a concept remotely similar to alien im stunned,sequel alien concept remotely similar alien im stunned,negative
1172,face huggers finally getting some respect,face huggers finally getting respect,neutral
1173,geez we have no stars anymore who are these people,geez stars anymore people,neutral
1174,red heart red heart red heart,red heart red heart red heart,neutral
1175,where is sigourney,sigourney,neutral
1176,those complaining about the look of this movie are obviously overlooking the fact that the original alien was made with a very similar atmosphere and tension the original was a tense claustrophobic horror type movie with a space setting this will be a good movie based on the criteria from the original,complaining look movie obviously overlooking fact original alien made similar atmosphere tension original tense claustrophobic horror type movie space setting good movie based criteria original,positive
1177,ooooo this will be so heavily scutinized by all of us who love the original sigourney has huge boots to fill please be good please be good please be good,ooooo heavily scutinized us love original sigourney huge boots fill please good please good please good,positive
1178,hype,hype,neutral
1179,kinda b trailer huh,kinda b trailer huh,neutral
1180,honestly the trailer wasnt that great i really hope the movie dont disappoint,honestly trailer wasnt great really hope movie dont disappoint,positive
1181,there is something in waer,something waer,neutral
1182,david oh these crazy kids and their shenanigans smiling face with smiling eyes,david oh crazy kids shenanigans smiling face smiling eyes,negative
1183,i cant wait to see the xenomorphs kill genz,cant wait see xenomorphs kill genz,neutral
1184,alien isolation fck yeah,alien isolation fck yeah,negative
1185,they need to make a movie showing the struggle on lv after the colony got infected i bet those shake n bakers put up a good fight,need make movie showing struggle lv colony got infected bet shake n bakers put good fight,positive
1186,in space noone can hear you woke,space noone hear woke,neutral
